route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
245_0,1,19B,Campo Mártires Pátria / circulação S. Bento,,3,,,
145_0,1,793,Marvila - Estação Roma-Areeiro,,3,,,
117_0,1,738,Estrada Luz - Alto Sto. Amaro,,3,,,
192_1,1,774,R. Sta. Marta - Pç. Figueira,,3,,,
62_0,1,203,Restelo-Xabregas,,3,,,
248_0,1,771,Sete Rios - Boa-Hora,,3,,,
170_0,1,717,Pç. Chile - Fetais,,3,,,
148_0,1,709,Rossio - Campo Ourique,,3,,,
191_3,1,770,R. Francisco Gentil Martins - Estação Sete Rios,,3,,,
242_0,1,10B,Campo Cebolas / circulação Graça,,3,,,
100_3,1,708,Rot. Oliveiras - Parque Nações Norte,,3,,,
136_1,1,206,Alfândega (Terminal Cruzeiros) - Estação Alta Lisboa,,3,,,
107_2,1,732,Caselas - Marquês Pombal,,3,,,
114_0,1,742,B. Madre Deus - Pólo Univ. Ajuda,,3,,,
175_0,1,756,Olaias - Junqueira,,3,,,
111_2,1,768,Castanheira Moura - Sete Rios,,3,,,
247_0,1,17B,Alameda D. A. Henriques / circulação Desterro,,3,,,
147_0,1,706,Cais Sodré - Estação Sta. Apolónia,,3,,,
75_0,1,28E,Martim Moniz - Campo Ourique (Prazeres),,3,,,
65_0,1,208,Cais Sodré - Estação Oriente,,3,,,
193_2,1,776,Dafundo - Cruz Quebrada (Fac. Motricidade Humana),,3,,,
278_0,1,71B,Colégio Militar (Metro) / circulação B. Boavista - B. Sta. Cruz,,3,,,
178_0,1,724,Alcântara - Pontinha,,3,,,
199_3,1,736,Cç. Carriche / Estr. Desvio - Cais Sodré,,3,,,
104_5,1,729,Mosteiro Jerónimos - Pontinha (Metro),,3,,,
172_0,1,735,Cais Sodré - Hosp. Sta. Maria,,3,,,
123_3,1,701,Campo Grande Norte - Entrecampos Norte,,3,,,
201_0,1,754,Campo Pequeno - Alfragide,,3,,,
101_0,1,711,Sul e Sueste - Alto Damaia,,3,,,
244_0,1,52B,Sete Rios / circulação Campo Pequeno,,3,,,
144_0,1,759,Restauradores - Estação Oriente,,3,,,
116_0,1,726,Sapadores - Pontinha Centro,,3,,,
239_2,1,46B,Av. EUA / R. Moura Girão - Entrecampos,,3,,,
78_0,1,18E,Cais Sodré - Cemitério Ajuda,,3,,,
277_0,1,45B,Alta Lisboa - Paço Lumiar,,3,,,
177_0,1,747,Campo Grande (Metro) - Pontinha (Metro),,3,,,
209_0,1,29B,C. Comercial Olivais / circulação Encarnação,,3,,,
109_0,1,751,Estação Campolide - Linda-a-Velha,,3,,,
174_0,1,796,Campo Grande (Metro) - Galinheiras,,3,,,
203_0,1,783,Amoreiras - Prior Velho,,3,,,
103_0,1,727,Estação Roma-Areeiro - Restelo,,3,,,
204_3,1,728,Belém - Portela - Av. Descobrimentos,,3,,,
146_0,1,702,Marquês Pombal - B. Liberdade,,3,,,
103_5,1,727,Mq. Pombal - R. Braamcamp - R. Gregório Lopes,,3,,,
171_2,1,760,Calvário - Pç. Comércio,,3,,,
200_0,1,744,Restauradores - Moscavide,,3,,,
100_0,1,708,Martim Moniz - Sacavém (Urb. Real Forte),,3,,,
239_0,1,46B,Entrecampos / circulação R. Murtas,,3,,,
161_0,1,54E,Elevador Sta. Justa,,3,,,
197_2,1,725,Prior Velho - Estação Oriente (Interface),,3,,,
106_4,1,750,Estação Benfica - Algés,,3,,,
176_0,1,705,Estação Oriente - Estação Roma-Areeiro,,3,,,
205_0,1,734,Martim Moniz - Estação Sta. Apolónia,,3,,,
105_0,1,718,ISEL - Estação Roma-Areeiro,,3,,,
147_3,1,706,Rato - Cç. Cruz Pedra,,3,,,
208_0,1,26B,Pq Nações Norte - Pq Nações Sul,,3,,,
108_0,1,746,Marquês Pombal - Estação Damaia,,3,,,
102_0,1,714,Cais Sodré - Outurela,,3,,,
121_4,1,723,R. Damião Góis - Cruz Oliveiras,,3,,,
191_0,1,770,Sete Rios / circulação B. Calhau - Serafina - Espaço Monsanto,,3,,,
169_0,1,748,Marquês Pombal - Linda-a-Velha,,3,,,
163_0,1,797,Alameda D. A. Henriques - Sapadores,,3,,,
107_0,1,732,Hosp. Sta. Maria - Caselas,,3,,,
61_0,1,202,Cais Sodré - B. Padre Cruz,,3,,,
238_0,1,64B,Campo Ourique / circulação Qta. Loureiro,,3,,,
160_0,1,53E,Ascensor Bica,,3,,,
232_0,1,41B,Galinheiras - Qta. Lavadeiras (via Lumiar),,3,,,
199_0,1,736,Rossio - Odivelas,,3,,,
204_0,1,728,Restelo - Portela,,3,,,
104_0,1,729,B. Padre Cruz - Algés,,3,,,
193_0,1,776,Algés - Cruz Quebrada,,3,,,
103_4,1,727,B. S. Miguel - Av. Roma - R. Gregório Lopes,,3,,,
194_3,1,798,R. Melo Antunes - Entrecampos Norte,,3,,,
171_1,1,760,Gomes Freire - Pólo Univ. Ajuda - Av. Univ. Técnica,,3,,,
