shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
136_1_ASC_shp,38.76180820,-9.15385120,556,10407
168_2_ASC_shp,38.74452260,-9.19663130,76,1822
168_2_DESC_shp,38.74651690,-9.21447280,76,1491
203_2_ASC_shp,38.73923820,-9.14609570,126,2086
204_3_ASC_shp,38.70624720,-9.15577120,148,4535
203_2_DESC_shp,38.77798130,-9.11863550,126,2221
199_1_ASC_shp,38.71862860,-9.14414650,195,2609
199_1_DESC_shp,38.77644120,-9.16376230,195,3160
118_0_DESC_shp,38.75006680,-9.16086160,103,2037
118_0_ASC_shp,38.74671110,-9.10518250,103,2132
109_0_ASC_shp,38.71502710,-9.22911660,665,11330
109_3_ASC_shp,38.70456320,-9.22695920,411,6542
109_3_DESC_shp,38.69802890,-9.19053590,411,6597
204_1_DESC_shp,38.70713470,-9.14160970,459,10594
204_1_ASC_shp,38.76699380,-9.09814700,459,9676
66_0_ASC_shp,38.70671570,-9.14160360,37,366
144_0_DESC_shp,38.76253340,-9.11728480,266,5611
144_0_ASC_shp,38.73402960,-9.11267920,266,5812
277_0_DESC_shp,38.75918690,-9.15570380,159,4384
277_0_ASC_shp,38.76178400,-9.15748070,159,3865
103_1_ASC_shp,38.72606820,-9.15021840,1,0
103_1_DESC_shp,38.71702270,-9.21307870,1,0
239_0_CIRC_shp,38.75453580,-9.13212610,129,2823
151_0_ASC_shp,38.70960840,-9.12888010,133,1541
151_0_DESC_shp,38.77789010,-9.11803350,133,2233
167_0_ASC_shp,38.66609730,-9.16643710,389,10670
108_0_DESC_shp,38.74226460,-9.17189640,223,4612
108_0_ASC_shp,38.74676420,-9.18462020,223,4472
104_0_DESC_shp,38.75322460,-9.19057570,681,13618
104_0_ASC_shp,38.70226180,-9.19964200,681,13728
101_0_DESC_shp,38.72469110,-9.15794940,650,13507
101_0_ASC_shp,38.74973290,-9.21494700,650,13555
189_2_DESC_shp,38.72473270,-9.14924100,42,350
189_2_ASC_shp,38.71769660,-9.12209310,42,1060
100_0_DESC_shp,38.71692720,-9.13624710,669,15586
100_0_ASC_shp,38.79448630,-9.10181540,669,15429
65_0_ASC_shp,38.75429760,-9.11387220,585,11421
101_0_DESC_shp,38.75024880,-9.20742790,144,2471
101_0_ASC_shp,38.72564730,-9.14958650,144,2827
171_1_DESC_shp,38.70354380,-9.16343180,261,5178
172_0_ASC_shp,38.73072480,-9.12714160,292,5001
171_1_ASC_shp,38.70641280,-9.15253850,261,4247
172_0_DESC_shp,38.72395960,-9.12863140,292,6153
174_0_ASC_shp,38.77279050,-9.16112810,72,1382
174_0_DESC_shp,38.78773040,-9.15920480,72,1581
199_1_ASC_shp,38.77323820,-9.16139100,518,9410
199_1_DESC_shp,38.72543420,-9.15106990,518,9406
114_0_DESC_shp,38.73328760,-9.13280950,560,11784
105_0_DESC_shp,38.73026310,-9.10792810,246,5057
114_0_ASC_shp,38.70388230,-9.17904500,560,11233
105_0_ASC_shp,38.72680150,-9.11114840,246,5670
104_0_DESC_shp,38.69740760,-9.20414530,112,2351
60_0_DESC_shp,38.69980320,-9.21220550,281,4434
104_0_ASC_shp,38.76113610,-9.19661490,112,2224
245_0_CIRC_shp,38.71605960,-9.14738370,172,3540
190_1_ASC_shp,38.74399650,-9.15626130,86,1939
190_1_DESC_shp,38.74545620,-9.15687880,86,2238
106_3_ASC_shp,38.75572190,-9.14883540,107,3441
100_0_DESC_shp,38.76821260,-9.11032840,304,6278
171_1_DESC_shp,38.70624110,-9.14410810,313,6933
100_0_ASC_shp,38.76606790,-9.11146810,304,8728
171_1_ASC_shp,38.70346250,-9.17095640,313,5923
114_0_DESC_shp,38.72891220,-9.12214290,614,12839
114_0_ASC_shp,38.70499330,-9.18770130,614,12341
121_4_DESC_shp,38.71578480,-9.20107800,318,7097
62_0_ASC_shp,38.70908240,-9.21402310,696,22674
209_0_CIRC_shp,38.76501950,-9.10962360,137,2270
62_0_DESC_shp,38.70492790,-9.19613270,689,13169
100_1_ASC_shp,38.73956520,-9.13354990,22,634
100_1_DESC_shp,38.79675500,-9.10341650,22,404
201_0_ASC_shp,38.73638160,-9.21260340,571,11484
201_0_DESC_shp,38.74728800,-9.15480500,571,10789
143_1_ASC_shp,38.70028230,-9.18313560,505,9548
79_0_ASC_shp,38.70806040,-9.15873170,194,2998
103_0_DESC_shp,38.74874450,-9.13550290,749,15149
100_1_ASC_shp,38.78324940,-9.09405440,453,10575
100_1_DESC_shp,38.76145460,-9.12090870,453,9488
104_0_DESC_shp,38.76004930,-9.19205210,732,14732
104_0_ASC_shp,38.69740870,-9.20350000,732,14639
211_0_CIRC_shp,38.75259300,-9.12293480,176,3343
248_0_ASC_shp,38.71274470,-9.19576660,397,7796
248_0_DESC_shp,38.73173410,-9.16254160,397,8978
108_3_ASC_shp,38.74149360,-9.17045640,53,695
204_0_ASC_shp,38.76717520,-9.09993490,757,17582
108_3_DESC_shp,38.75165460,-9.20977550,53,896
204_0_DESC_shp,38.69733460,-9.20247860,757,18527
204_0_ASC_shp,38.77902980,-9.10539840,905,20319
178_1_DESC_shp,38.73274400,-9.19258990,377,7578
178_1_ASC_shp,38.74977940,-9.19754760,377,8482
103_0_DESC_shp,38.74800470,-9.14811720,677,13453
103_0_ASC_shp,38.71162120,-9.21034160,677,14062
163_0_ASC_shp,38.72240880,-9.12878220,135,3026
163_0_DESC_shp,38.73663800,-9.13371880,135,2793
103_5_ASC_shp,38.71155600,-9.21146330,599,12392
226_0_CIRC_shp,38.74817380,-9.12040380,622,12119
177_0_ASC_shp,38.76133260,-9.17065500,167,3380
177_0_DESC_shp,38.76364360,-9.17341780,167,4047
192_1_ASC_shp,38.71348120,-9.15950260,221,4112
192_1_DESC_shp,38.71425020,-9.16904500,221,4379
172_0_ASC_shp,38.73204590,-9.12834490,305,5238
172_0_DESC_shp,38.72156930,-9.12958180,305,6460
164_0_ASC_shp,38.74021460,-9.15027920,96,2196
164_0_DESC_shp,38.74676030,-9.18457930,96,2003
76_0_ASC_shp,38.69950580,-9.22582870,456,9240
220_0_CIRC_shp,38.70499680,-9.18795480,359,8124
77_0_DESC_shp,38.72136180,-9.12997460,296,3040
76_0_DESC_shp,38.70809220,-9.13723040,449,8923
