route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
172_0,Ferias Escolares_Util_20260101,5185_20260101_172_0_18,,,1,,172_0_DESC_shp,,
101_0,Inverno_DomingoFeriado_20260101,3490_20260101_101_0_15,,,0,,101_0_ASC_shp,,
171_0,Agosto_Sabado_20260101,51302_20260101_171_0_3,,,0,,171_0_ASC_shp,,
171_2,Feriados_Agosto_DomingoFeriado_20260101,51314_20260101_171_2_3,,,0,,171_2_ASC_shp,,
121_0,Inverno_Util_20260101,4187_20260101_121_0_11,,,1,,121_0_DESC_shp,,
115_0,Agosto_Sabado_20260101,8046_20260101_115_0_17,,,1,,115_0_DESC_shp,,
170_0,Feriados_Agosto_DomingoFeriado_20260101,3767_20260101_170_0_15,,,0,,170_0_ASC_shp,,
147_0,Inverno_DomingoFeriado_20260101,19489_20260101_147_0_8,,,0,,147_0_ASC_shp,,
75_0,Agosto_DomingoFeriado_20260101,14951_20260101_75_0_13,,,1,,75_0_DESC_shp,,
103_2,Inverno_Sabado_20260101,4490_20260101_103_2_14,,,1,,103_2_DESC_shp,,
100_1,Agosto_DomingoFeriado_20260101,3291_20260101_100_1_19,,,0,,100_1_ASC_shp,,
172_0,Agosto_DomingoFeriado_20260101,5223_20260101_172_0_15,,,0,,172_0_ASC_shp,,
145_0,Inverno_Util_20260101,8019_20260101_145_0_11,,,1,,145_0_DESC_shp,,
148_0,Inverno_Sabado_20260101,3395_20260101_148_0_26,,,0,,148_0_ASC_shp,,
148_0,Inverno_Sabado_20260101,3395_20260101_148_0_16,,,0,,148_0_ASC_shp,,
145_0,Inverno_Util_20260101,8019_20260101_145_0_21,,,1,,145_0_DESC_shp,,
239_2,Feriados_DomingoFeriado_20260101,21506_20260101_239_2_18,,,0,,239_2_CIRC_shp,,
239_2,Feriados_DomingoFeriado_20260101,21506_20260101_239_2_19,,,0,,239_2_CIRC_shp,,
239_2,Feriados_DomingoFeriado_20260101,21506_20260101_239_2_10,,,0,,239_2_CIRC_shp,,
239_2,Feriados_DomingoFeriado_20260101,21506_20260101_239_2_11,,,0,,239_2_CIRC_shp,,
116_0,Agosto_Sabado_20260101,4276_20260101_116_0_10,,,1,,116_0_DESC_shp,,
239_2,Feriados_DomingoFeriado_20260101,21506_20260101_239_2_12,,,0,,239_2_CIRC_shp,,
116_0,Agosto_Sabado_20260101,4276_20260101_116_0_20,,,1,,116_0_DESC_shp,,
239_2,Feriados_DomingoFeriado_20260101,21506_20260101_239_2_13,,,0,,239_2_CIRC_shp,,
239_2,Feriados_DomingoFeriado_20260101,21506_20260101_239_2_14,,,0,,239_2_CIRC_shp,,
239_2,Feriados_DomingoFeriado_20260101,21506_20260101_239_2_15,,,0,,239_2_CIRC_shp,,
239_2,Feriados_DomingoFeriado_20260101,21506_20260101_239_2_16,,,0,,239_2_CIRC_shp,,
239_2,Feriados_DomingoFeriado_20260101,21506_20260101_239_2_17,,,0,,239_2_CIRC_shp,,
171_0,Agosto_Sabado_20260101,7056_20260101_171_0_8,,,0,,171_0_ASC_shp,,
196_0,Inverno_DomingoFeriado_20260101,41543_20260101_196_0_4,,,0,,196_0_ASC_shp,,
171_0,Agosto_Sabado_20260101,7056_20260101_171_0_9,,,1,,171_0_DESC_shp,,
171_0,Agosto_Sabado_20260101,7056_20260101_171_0_6,,,0,,171_0_ASC_shp,,
171_0,Agosto_Sabado_20260101,7056_20260101_171_0_7,,,1,,171_0_DESC_shp,,
171_0,Agosto_Sabado_20260101,7056_20260101_171_0_4,,,0,,171_0_ASC_shp,,
171_0,Agosto_Sabado_20260101,7056_20260101_171_0_5,,,1,,171_0_DESC_shp,,
171_0,Agosto_Sabado_20260101,7056_20260101_171_0_2,,,0,,171_0_ASC_shp,,
171_0,Agosto_Sabado_20260101,7056_20260101_171_0_3,,,1,,171_0_DESC_shp,,
111_2,Natal & Ano Novo_DomingoFeriado_20260101,39568_20260101_111_2_8,,,1,,111_2_DESC_shp,,
118_0,Inverno_Util_20260101,6702_20260101_118_0_11,,,1,,118_0_DESC_shp,,
170_0,Inverno_Util_20260101,3864_20260101_170_0_11,,,0,,170_0_ASC_shp,,
158_0,Natal & Ano Novo_DomingoFeriado_20260101,66579_20260101_158_0_6,,,0,,158_0_CIRC_shp,,
243_0,Feriados_DomingoFeriado_20260101,21598_20260101_243_0_21,,,0,,243_0_CIRC_shp,,
243_0,Feriados_DomingoFeriado_20260101,21598_20260101_243_0_20,,,0,,243_0_CIRC_shp,,
243_0,Feriados_DomingoFeriado_20260101,21598_20260101_243_0_23,,,0,,243_0_CIRC_shp,,
243_0,Feriados_DomingoFeriado_20260101,21598_20260101_243_0_22,,,0,,243_0_CIRC_shp,,
243_0,Feriados_DomingoFeriado_20260101,21598_20260101_243_0_25,,,0,,243_0_CIRC_shp,,
175_0,Ferias Escolares_Util_20260101,6762_20260101_175_0_12,,,0,,175_0_ASC_shp,,
243_0,Feriados_DomingoFeriado_20260101,21598_20260101_243_0_24,,,0,,243_0_CIRC_shp,,
175_0,Ferias Escolares_Util_20260101,6762_20260101_175_0_22,,,0,,175_0_ASC_shp,,
243_0,Feriados_DomingoFeriado_20260101,21598_20260101_243_0_27,,,0,,243_0_CIRC_shp,,
243_0,Feriados_DomingoFeriado_20260101,21598_20260101_243_0_26,,,0,,243_0_CIRC_shp,,
243_0,Feriados_DomingoFeriado_20260101,21598_20260101_243_0_28,,,0,,243_0_CIRC_shp,,
118_0,Inverno_Util_20260101,6699_20260101_118_0_2,,,0,,118_0_ASC_shp,,
118_0,Inverno_Util_20260101,6699_20260101_118_0_3,,,1,,118_0_DESC_shp,,
75_0,Ferias Escolares_Util_20260101,15020_20260101_75_0_19,,,1,,75_0_DESC_shp,,
196_0,Inverno_Util_20260101,4119_20260101_196_0_12,,,0,,196_0_ASC_shp,,
146_0,Feriados_Agosto_DomingoFeriado_20260101,3039_20260101_146_0_24,,,1,,146_0_DESC_shp,,
146_0,Feriados_Agosto_DomingoFeriado_20260101,3039_20260101_146_0_14,,,1,,146_0_DESC_shp,,
172_0,Inverno_Sabado_20260101,5192_20260101_172_0_10,,,1,,172_0_DESC_shp,,
75_0,Inverno_Util_20260101,14986_20260101_75_0_18,,,0,,75_0_ASC_shp,,
145_0,Inverno_DomingoFeriado_20260101,7977_20260101_145_0_17,,,1,,145_0_DESC_shp,,
101_0,Ferias Escolares_Util_20260101,3520_20260101_101_0_5,,,0,,101_0_ASC_shp,,
101_0,Ferias Escolares_Util_20260101,3520_20260101_101_0_4,,,1,,101_0_DESC_shp,,
115_0,Verao_Util_20260101,8064_20260101_115_0_14,,,0,,115_0_ASC_shp,,
178_0,Inverno_Util_20260101,4191_20260101_178_0_16,,,1,,178_0_DESC_shp,,
101_0,Ferias Escolares_Util_20260101,3520_20260101_101_0_3,,,0,,101_0_ASC_shp,,
101_0,Ferias Escolares_Util_20260101,3520_20260101_101_0_2,,,1,,101_0_DESC_shp,,
66_0,Agosto_DomingoFeriado_20260101,13576_20260101_66_0_2,,,1,,66_0_DESC_shp,,
66_0,Agosto_DomingoFeriado_20260101,13576_20260101_66_0_3,,,0,,66_0_ASC_shp,,
150_0,Inverno_DomingoFeriado_20260101,6789_20260101_150_0_20,,,1,,150_0_DESC_shp,,
171_0,Agosto_DomingoFeriado_20260101,51304_20260101_171_0_5,,,0,,171_0_ASC_shp,,
150_0,Inverno_DomingoFeriado_20260101,6789_20260101_150_0_10,,,1,,150_0_DESC_shp,,
106_0,Natal & Ano Novo_DomingoFeriado_20260101,17264_20260101_106_0_2,,,0,,106_0_ASC_shp,,
170_0,Feriados_Agosto_DomingoFeriado_20260101,3794_20260101_170_0_21,,,0,,170_0_ASC_shp,,
170_0,Feriados_Agosto_DomingoFeriado_20260101,3794_20260101_170_0_11,,,0,,170_0_ASC_shp,,
106_0,Feriados_Agosto_DomingoFeriado_20260101,6279_20260101_106_0_13,,,0,,106_0_ASC_shp,,
241_0,Ferias Escolares_Util_20260101,21523_20260101_241_0_5,,,1,,241_0_DESC_shp,,
150_0,Inverno_Util_20260101,6868_20260101_150_0_13,,,0,,150_0_ASC_shp,,
144_0,Feriados_Agosto_DomingoFeriado_20260101,6909_20260101_144_0_12,,,0,,144_0_ASC_shp,,
220_0,Feriados_Agosto_DomingoFeriado_20260101,18781_20260101_220_0_6,,,0,,220_0_CIRC_shp,,
169_0,Verao_Util_20260101,6139_20260101_169_0_12,,,1,,169_0_DESC_shp,,
190_0,Inverno_Sabado_20260101,4997_20260101_190_0_17,,,0,,190_0_ASC_shp,,
169_0,Verao_Util_20260101,6139_20260101_169_0_22,,,1,,169_0_DESC_shp,,
199_0,Feriados_DomingoFeriado_20260101,41535_20260101_199_0_4,,,1,,199_0_DESC_shp,,
168_2,Agosto_Sabado_20260101,19181_20260101_168_2_19,,,0,,168_2_ASC_shp,,
168_2,Agosto_Sabado_20260101,19181_20260101_168_2_18,,,1,,168_2_DESC_shp,,
168_2,Agosto_Sabado_20260101,19181_20260101_168_2_15,,,0,,168_2_ASC_shp,,
168_2,Agosto_Sabado_20260101,19181_20260101_168_2_14,,,1,,168_2_DESC_shp,,
100_0,Inverno_Util_20260101,3358_20260101_100_0_11,,,1,,100_0_DESC_shp,,
168_2,Agosto_Sabado_20260101,19181_20260101_168_2_17,,,0,,168_2_ASC_shp,,
168_2,Agosto_Sabado_20260101,19181_20260101_168_2_16,,,1,,168_2_DESC_shp,,
168_2,Agosto_Sabado_20260101,19181_20260101_168_2_11,,,0,,168_2_ASC_shp,,
168_2,Agosto_Sabado_20260101,19181_20260101_168_2_10,,,1,,168_2_DESC_shp,,
168_2,Agosto_Sabado_20260101,19181_20260101_168_2_13,,,0,,168_2_ASC_shp,,
168_2,Agosto_Sabado_20260101,19181_20260101_168_2_12,,,1,,168_2_DESC_shp,,
101_0,Verao_Util_20260101,3488_20260101_101_0_13,,,0,,101_0_ASC_shp,,
189_0,Ferias Escolares_Util_20260101,3556_20260101_189_0_12,,,1,,189_0_DESC_shp,,
100_0,Inverno_Util_20260101,3311_20260101_100_0_15,,,1,,100_0_DESC_shp,,
178_0,Inverno_Util_20260101,4236_20260101_178_0_24,,,1,,178_0_DESC_shp,,
178_1,Inverno_Util_20260101,4191_20260101_178_1_26,,,1,,178_1_DESC_shp,,
178_0,Inverno_Util_20260101,4236_20260101_178_0_14,,,1,,178_0_DESC_shp,,
159_0,Feriados_DomingoFeriado_20260101,1176_20260101_159_0_2,,,0,,159_0_ASC_shp,,
159_0,Feriados_DomingoFeriado_20260101,1176_20260101_159_0_3,,,1,,159_0_DESC_shp,,
136_0,Natal & Ano Novo_DomingoFeriado_20260101,39747_20260101_136_0_2,,,0,,136_0_ASC_shp,,
159_0,Feriados_DomingoFeriado_20260101,1176_20260101_159_0_1,,,1,,159_0_DESC_shp,,
